# Packages matching: installed
# Name                   # Installed # Synopsis
asak                     0.2         Partitioning OCaml codes
astring                  0.8.4       Alternative String module for OCaml
base                     v0.11.1     Full standard library replacement for OCaml
base-bigarray            base
base-bytes               base        Bytes library distributed with the OCaml compiler
base-num                 base        Num library distributed with the OCaml compiler
base-threads             base
base-unix                base
base64                   2.3.0       Base64 encoding for OCaml
bigarray-compat          1.0.0       Compatibility library to use Stdlib.Bigarray when possible
bin_prot                 v0.11.0     A binary protocol generator
biniou                   1.2.0       Binary data format designed for speed, safety, ease of use and backward compatibility as protocols evolve
checkseum                0.0.3       Adler-32, CRC32 and CRC32-C implementation in C and OCaml
cmdliner                 1.0.4       Declarative definition of command line interfaces for OCaml
cohttp                   1.1.1
cohttp-lwt               1.1.1       An OCaml library for HTTP clients and servers
cohttp-lwt-unix          1.1.1       An OCaml library for HTTP clients and servers
conduit                  1.3.0       An OCaml network connection establishment library
conduit-lwt              1.3.0       An OCaml network connection establishment library
conduit-lwt-unix         1.3.0       An OCaml network connection establishment library
conf-git                 1.0         Virtual package relying on git
conf-libssl              1           Virtual package relying on an OpenSSL library system installation
conf-m4                  1           Virtual package relying on m4
conf-pkg-config          1.2         Virtual package relying on pkg-config installation
conf-which               1           Virtual package relying on which
configurator             v0.11.0     Helper library for gathering system configuration
core                     v0.11.3     Industrial strength alternative to OCaml's standard library
core_kernel              v0.11.1     Industrial strength alternative to OCaml's standard library
cppo                     1.6.6       Code preprocessor like cpp for OCaml
cstruct                  5.0.0       Access C-like structures directly from OCaml
decompress               0.8.1       Implementation of Zlib in OCaml
digestif                 0.7.1       Hashes implementations (SHA*, RIPEMD160, BLAKE2* and MD5)
dune                     1.6.3       Fast, portable and opinionated build system
easy-format              1.3.1       High-level and functional interface to the Format module of the OCaml standard library
eqaf                     0.7         Constant-time equal function on string
ezjsonm                  1.1.0       Simple interface on top of the Jsonm JSON library
fieldslib                v0.11.0     Syntax extension to define first class values representing record fields, to get and set record fields, iterate and fold over all fields of a record and create new record values
fmt                      0.8.8       OCaml Format pretty-printer combinators
fpath                    0.7.2       File system paths for OCaml
hex                      1.4.0       Library providing hexadecimal converters
ipaddr                   2.9.0       A library for manipulation of IP (and MAC) address representations
jane-street-headers      v0.11.0     Jane Street C header files
jbuilder                 transition  This is a transition package, jbuilder is now named dune. Use the dune
js_of_ocaml              3.3.0       Compiler from OCaml bytecode to Javascript
js_of_ocaml-compiler     3.3.0       Compiler from OCaml bytecode to Javascript
js_of_ocaml-lwt          3.3.0       Compiler from OCaml bytecode to Javascript
js_of_ocaml-ppx          3.3.0       Compiler from OCaml bytecode to Javascript
js_of_ocaml-toplevel     3.3.0       Compiler from OCaml bytecode to Javascript
js_of_ocaml-tyxml        3.3.0       Compiler from OCaml bytecode to Javascript
jsonm                    1.0.1       Non-blocking streaming JSON codec for OCaml
logs                     0.7.0       Logging infrastructure for OCaml
lwt                      3.3.0       Promises, concurrency, and parallelized I/O
lwt_log                  1.0.0       Lwt logging library (deprecated)
lwt_ppx                  1.2.2       PPX syntax for Lwt, providing something similar to async/await from JavaScript
lwt_react                1.1.3       Helpers for using React with Lwt
lwt_ssl                  1.1.3       OpenSSL binding with concurrent I/O
magic-mime               1.1.2       Map filenames to common MIME types
markup                   0.8.2       Error-recovering functional HTML5 and XML parsers and writers
mmap                     1.1.0       File mapping functionality
num                      0           The Num library for arbitrary-precision integer and rational arithmetic
ocaml                    4.05.0      The OCaml compiler (virtual package)
ocaml-compiler-libs      v0.12.1     OCaml compiler libraries repackaged
ocaml-config             1           OCaml Switch Configuration
ocaml-migrate-parsetree  1.3.1       Convert OCaml parsetrees between different versions
ocaml-secondary-compiler 4.08.1-1    OCaml 4.08.1 Secondary Switch Compiler
ocaml-system             4.05.0      The OCaml compiler (system version, from outside of opam)
ocamlbuild               0.14.0      OCamlbuild is a build system with builtin rules to easily build most OCaml projects.
ocamlfind                1.8.1       A library manager for OCaml
ocamlfind-secondary      1.8.1       ocamlfind support for ocaml-secondary-compiler
ocamlgraph               1.8.8       A generic graph library for OCaml
ocp-indent-nlfork        1.5.4       ocp-indent library, "newline tokens" fork
ocp-ocamlres             0.4         Manipulation, injection and extraction of embedded resources
ocplib-json-typed        0.6         Type-aware JSON and JSON schema utilities
octavius                 1.2.1       Ocamldoc comment syntax parser
odoc                     1.5.1       OCaml documentation generator
omd                      1.3.1       A Markdown frontend in pure OCaml.
opam-core                2.0.7
opam-file-format         2.0.0       Parser and printer for the opam file syntax
opam-format              2.0.7
optint                   0.0.2       Abstract type on integer between x64 and x86 architecture
parsexp                  v0.11.0     S-expression parsing library
pprint                   20200410    A pretty-printing combinator library and rendering engine
ppx_assert               v0.11.0     Assert-like extension nodes that raise useful errors on failure
ppx_ast                  v0.11.0     Deprecated: use ppxlib instead
ppx_base                 v0.11.0     Base set of ppx rewriters
ppx_bench                v0.11.0     Syntax extension for writing in-line benchmarks in ocaml code
ppx_bin_prot             v0.11.0     Generation of bin_prot readers and writers from types
ppx_compare              v0.11.0     Generation of comparison functions from types
ppx_core                 v0.11.0     Deprecated: use ppxlib instead
ppx_cstruct              5.0.0       Access C-like structures directly from OCaml
ppx_custom_printf        v0.11.0     Printf-style format-strings for user-defined string conversion
ppx_derivers             1.2.1       Shared [@@deriving] plugin registry
ppx_deriving             4.5         Type-driven code generation for OCaml >=4.02.2
ppx_driver               v0.11.0     Deprecated: use ppxlib instead
ppx_enumerate            v0.11.0     Generate a list containing all values of a finite type
ppx_expect               v0.11.1     Cram like framework for OCaml
ppx_fail                 v0.11.0     Add location to calls to failwiths
ppx_fields_conv          v0.11.0     Generation of accessor and iteration functions for ocaml records
ppx_hash                 v0.11.0     A ppx rewriter that generates hash functions from type expressions and definitions
ppx_here                 v0.11.0     Expands [%here] into its location
ppx_inline_test          v0.11.0     Syntax extension for writing in-line tests in ocaml code
ppx_jane                 v0.11.0     Standard Jane Street ppx rewriters
ppx_js_style             v0.11.0     Code style checker for Jane Street Packages
ppx_let                  v0.11.0     Monadic let-bindings
ppx_metaquot             v0.11.0     Deprecated: use ppxlib instead
ppx_optcomp              v0.11.0     Optional compilation for OCaml
ppx_optional             v0.11.0     Pattern matching on flat options
ppx_pipebang             v0.11.0     A ppx rewriter that inlines reverse application operators `|>` and `|!`
ppx_sexp_conv            v0.11.1     Generation of S-expression conversion functions from type definitions
ppx_sexp_message         v0.11.0     A ppx rewriter for easy construction of s-expressions
ppx_sexp_value           v0.11.0     A ppx rewriter that simplifies building s-expressions from ocaml values
ppx_tools                5.0+4.05.0  Tools for authors of ppx rewriters and other syntactic tools
ppx_tools_versioned      5.2.2       A variant of ppx_tools based on ocaml-migrate-parsetree
ppx_traverse_builtins    v0.9.0      Builtins for Ppx_traverse
ppx_type_conv            v0.11.0     Deprecated: use ppxlib instead
ppx_typerep_conv         v0.11.0     Generation of runtime types from type declarations
ppx_variants_conv        v0.11.0     Generation of accessor and iteration functions for ocaml variant types
ppxfind                  1.3         Tool combining ocamlfind and ppx
ppxlib                   0.2.2       A comprehensive toolbox for ppx development. It features:
re                       1.9.0       RE is a regular expression library for OCaml
react                    1.2.1       Declarative events and signals for OCaml
reactiveData             0.2.1       Functional reactive programming with incremental changes in data structures
result                   1.5         Compatibility Result module
